lieu,latitude,longitude
CBAO,"14,7509939","-17,4396741"
Place publique cité Yasmine Keur Ndiaye lo,"14,7452479","-17,2289319"
ELECTRONIC CHEZ KANDJI,"14,6813203","-17,461095"
Cabinet Cirac suarl,"14,738447","-17,4566649"
Créatrice de Gourmandise,"14,7570482","-17,4847169"
Depot Gaz,"14,7565288","-17,4421874"
Institution Préscolaire Fatou & Alimatou,"14,7392964","-17,4437995"
Asmamane Couture,"14,721804","-17,2730407"
Ker fat faye,"14,7812758","-17,3253594"
K’PSy Informatique,"14,6674414","-17,4384361"
Elementary School Seydou Nourou Tall,"14,7667378","-17,4165085"
Prestige Lavage,"14,7580477","-17,4361323"
Salon De Coiffure,"14,7501981","-17,3821052"
Sweet Délices Bakery - Dakar,"14,7110245","-17,465825"
Lise Toure's Pharmacy,"14,763081","-17,4372018"
Les Maternelles,"14,7315534","-17,4986095"
Alimentation Mame Diarra,"14,7542967","-17,2981536"
District Sanitary Dakar-Sud,"14,6733367","-17,4325906"
PLATEAU médical Cheikh Al Islam Baye Niass,"14,7230681","-17,4734608"
Markhabane shop,"14,7455436","-17,4695304"
Residence Khadijah,"14,7523426","-17,4591117"
Agrodeals,"14,7595897","-17,4498905"
Keur massar jaxaaye,"14,768521","-17,2809444"
MGP-Afrique,"14,7139377","-17,4735903"
Bed and Breakfast,"14,7595608","-17,4826398"
Excellence,"14,713448","-17,472616"
Bank Of Africa Senegal,"14,7550095","-17,4310798"
Chez PDG,"14,7844855","-17,3370226"
Yakhadychop,"14,759101","-17,4387185"
Mini Marché Halimatou Diagana Doucouré,"14,7159886","-17,4449279"
Mosquée,"14,8075944","-17,281131"
Diedhioucounda Residence,"14,74561","-17,423039"
Résidence Oumar Bousso,"14,7739798","-17,4138407"
23ème BIMA,"14,7027009","-17,4211062"
BYéRI ART,"14,7018757","-17,4746146"
Bala Magnssa Coiffure,"14,7419162","-17,3175641"
CNART Ngor Almadies,"14,7378584","-17,5096659"
D.A.F.L,"14,6699687","-17,4358804"
Access voyages,"14,7152456","-17,4543297"
Selma Couture,"14,777649","-17,3391994"
Geul tapée,"14,6839165","-17,458367"
Ma Ndiaye Couture Borome Asecna,"14,7843647","-17,3597859"
Mohamed Boutique Baobab,"14,7081074","-17,4636653"
SEDES SAU,"14,6897393","-17,1995275"
Pharmacie El Hadji Tamsir Samb,"14,6826293","-17,457462"
Ifmel Dakar,"14,7201221","-17,4631802"
Terrain bargny,"14,709834","-17,2159328"
Pressing Yaye Ndoume Diop,"14,7798688","-17,3177983"
Bank Of Africa,"14,7496604","-17,4056235"
School Group Keur Mamadou Darou,"14,7306154","-17,4555296"
Quincaillerie Ndiambour Ndiaye & Freres,"14,7631524","-17,2866924"
Matignon Restaurant Fastfood Traiteur,"14,7561981","-17,4751416"
CBAO- Agence Mariste,"14,7387542","-17,4313924"
Fast food ndiambour,"14,7707717","-17,4169835"
Keur Yaye Aida,"14,7110245","-17,465825"
Kbs design ameublement,"14,72403","-17,4564919"
Boutique A.D.K,"14,7425772","-17,457344"
The Next Step Restaurant,"14,7425532","-17,4090014"
AïssaTapha,"14,751517","-17,4981611"
Latsoukabe fret,"14,7112622","-17,4431111"
Restaurant Chez Yaye Astou,"14,7184857","-17,257064"
Les restaurants da APIX,"14,8071579","-17,2872384"
Grand mosquée de Nayobé,"14,7157695","-17,2719059"
Lejlighed Senegal,"14,7488525","-17,466908"
AMPALI,"14,727441","-17,4995815"
Ala athiou,"14,7435604","-17,4434661"
Domicile,"14,7505112","-17,3817357"
Mamelles Touba Almadies,"14,7308517","-17,5030369"
MOUSSOU FASHION MAKE UP,"14,7622626","-17,3939963"
Escale d’Orient,"14,6890688","-17,4711704"
Imaara Concept Store,"14,6936634","-17,4555772"
ARITnet,"14,716677","-17,4676861"
ILMA,"14,72735","-17,5007637"
Access Distribution Services,"14,719054","-17,4528238"
Bouna Fashion Shop,"14,7472025","-17,4700996"
Café Touba Choukran,"14,7584093","-17,3775874"
Eclat De Nature by Nyla,"14,7336557","-17,459391"
Doorwarr Coiffure,"14,719352","-17,2618177"
MB Pikine,"14,7440005","-17,4044218"
Binawa Consulting,"14,7429987","-17,4685585"
School Prim Unite5,"14,778054","-17,3190146"
"Daara Hizbou Rahim, Mosquée unité 6","14,7601427","-17,4279131"
La Galerie de Mon Père,"14,7550739","-17,4932994"
Saloum Shop,"14,7025774","-17,1606745"
FINASE TRAITEUR,"14,689313","-17,468539"
Paulyne O Creations,"14,7446029","-17,525359"
AMETHOUSE,"14,5990891","-17,1475149"
